AlertId,Timestamp,SourceNodeId,SourceNodeType,AlertType,Severity,Description,OpticalPowerDbm,BitErrorRate,CPUUtilPct,PacketLossPct
ALT-20260206-002664,2026-02-04T22:11:32.181Z,GNB-MEL-3021,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.4,6.926e-12,35.1,0.021
ALT-20260206-002447,2026-02-04T22:12:02.154Z,AGG-BNE-CENTRAL-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 71.2% — routine process spike,-2.6,9.865e-12,71.2,0.048
ALT-20260206-002430,2026-02-04T22:14:12.666Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,4.678e-12,37.2,0.043
ALT-20260206-002683,2026-02-04T22:14:24.808Z,AGG-BNE-CENTRAL-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,1.644e-12,25.8,0.014
ALT-20260206-000546,2026-02-04T22:15:59.838Z,GNB-SYD-2042,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,1.557e-12,19.6,0.016
ALT-20260206-002524,2026-02-04T22:16:16.886Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,4.599e-12,22.6,0.029
ALT-20260206-000702,2026-02-04T22:17:25.386Z,CORE-MEL-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.24% — transient microloop,-2.8,2.72e-12,28.9,0.24
ALT-20260206-000266,2026-02-04T22:20:37.322Z,GNB-BNE-4011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,5.39e-12,43.0,0.035
ALT-20260206-000275,2026-02-04T22:23:16.856Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 69.7% — routine process spike,-2.7,5.682e-12,69.7,0.009
ALT-20260206-001427,2026-02-04T22:23:31.360Z,GNB-BNE-4011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,1.45e-13,25.6,0.036
ALT-20260206-000708,2026-02-04T22:24:37.407Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,9.492e-12,21.8,0.017
ALT-20260206-001809,2026-02-04T22:24:54.599Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.79% — transient microloop,-3.4,3.738e-12,20.1,0.79
ALT-20260206-000615,2026-02-04T22:25:04.693Z,GNB-MEL-3011,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.65% — transient microloop,-3.3,7.015e-12,39.0,0.65
ALT-20260206-000767,2026-02-04T22:25:49.974Z,GNB-SYD-2043,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,9.173e-12,24.9,0.043
ALT-20260206-001035,2026-02-04T22:27:53.849Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,9.87e-12,18.3,0.003
ALT-20260206-002340,2026-02-04T22:30:03.491Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 55.5% — routine process spike,-2.5,9.303e-12,55.5,0.018
ALT-20260206-000482,2026-02-04T22:30:16.901Z,GNB-MEL-3012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,3.63e-13,36.2,0.029
ALT-20260206-000867,2026-02-04T22:32:09.849Z,GNB-BNE-4011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.5,7.7e-12,16.4,0.018
ALT-20260206-002814,2026-02-04T22:32:33.222Z,LINK-MEL-AGG-WEST-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,6.271e-12,35.8,0.0
ALT-20260206-001808,2026-02-04T22:33:46.651Z,AGG-MEL-WEST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 62.0% — routine process spike,-2.9,8.25e-13,62.0,0.005
ALT-20260206-000309,2026-02-04T22:34:38.840Z,LINK-SYD-MEL-FIBRE-02,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,2.959e-12,20.9,0.012
ALT-20260206-002702,2026-02-04T22:39:05.041Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.37% — transient microloop,-2.5,7.503e-12,40.1,0.37
ALT-20260206-000640,2026-02-04T22:40:04.973Z,AGG-SYD-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 68.1% — routine process spike,-2.6,3.101e-12,68.1,0.014
ALT-20260206-000454,2026-02-04T22:42:48.938Z,GNB-MEL-3021,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,2.693e-12,16.8,0.038
ALT-20260206-002641,2026-02-04T22:44:25.794Z,GNB-BNE-4012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.69% — transient microloop,-2.8,1.722e-12,21.7,0.69
ALT-20260206-002107,2026-02-04T22:46:00.612Z,LINK-SYD-MEL-FIBRE-02,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,2.483e-12,25.0,0.009
ALT-20260206-002824,2026-02-04T22:46:44.363Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 73.5% — routine process spike,-3.4,8.475e-12,73.5,0.012
ALT-20260206-002428,2026-02-04T22:47:27.064Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,1.243e-12,31.7,0.038
ALT-20260206-000695,2026-02-04T22:52:24.403Z,GNB-MEL-3012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,5.764e-12,18.4,0.021
ALT-20260206-002563,2026-02-04T22:53:22.309Z,AGG-SYD-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 68.6% — routine process spike,-2.6,6.366e-12,68.6,0.027
ALT-20260206-000114,2026-02-04T22:54:59.709Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.41% — transient microloop,-2.8,1.223e-12,44.2,0.41
ALT-20260206-001639,2026-02-04T22:55:34.550Z,GNB-SYD-2041,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,4.473e-12,23.9,0.002
ALT-20260206-001303,2026-02-04T22:56:17.523Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.11% — transient microloop,-3.5,5.451e-12,18.1,0.11
ALT-20260206-000938,2026-02-04T22:57:50.673Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,8.529e-12,42.2,0.047
ALT-20260206-002571,2026-02-04T22:58:51.931Z,LINK-MEL-AGG-WEST-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.2,2.002e-12,44.0,0.022
ALT-20260206-000510,2026-02-04T22:59:03.248Z,LINK-MEL-AGG-EAST-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.36% — transient microloop,-3.2,1.147e-12,27.0,0.36
ALT-20260206-000334,2026-02-04T22:59:22.176Z,AGG-SYD-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 58.3% — routine process spike,-3.2,3.005e-12,58.3,0.018
ALT-20260206-001612,2026-02-04T23:01:07.764Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,4.682e-12,15.9,0.006
ALT-20260206-002014,2026-02-04T23:01:41.099Z,AGG-BNE-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.21% — transient microloop,-3.3,5.859e-12,30.5,0.21
ALT-20260206-001329,2026-02-04T23:01:50.111Z,LINK-SYD-MEL-FIBRE-02,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.5,9.865e-12,29.5,0.002
ALT-20260206-002112,2026-02-04T23:02:27.468Z,LINK-SYD-BNE-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.59% — transient microloop,-3.2,6.057e-12,15.0,0.59
ALT-20260206-000625,2026-02-04T23:02:36.795Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,4.993e-12,21.3,0.035
ALT-20260206-001874,2026-02-04T23:05:26.932Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,5.131e-12,44.8,0.021
ALT-20260206-002741,2026-02-04T23:06:20.547Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,1.053e-12,21.6,0.028
ALT-20260206-002761,2026-02-04T23:06:47.827Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.8,6.179e-12,31.7,0.036
ALT-20260206-002401,2026-02-04T23:07:20.890Z,GNB-BNE-4012,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,8.399e-12,33.7,0.046
ALT-20260206-000761,2026-02-04T23:07:56.265Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,1.721e-12,24.3,0.045
ALT-20260206-002125,2026-02-04T23:10:23.965Z,LINK-SYD-AGG-NORTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,7.467e-12,15.6,0.028
ALT-20260206-000650,2026-02-04T23:10:34.266Z,LINK-MEL-BNE-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,2.696e-12,20.6,0.003
ALT-20260206-002047,2026-02-04T23:11:37.119Z,GNB-BNE-4012,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,7.246e-12,27.1,0.048
ALT-20260206-002633,2026-02-04T23:12:18.139Z,GNB-MEL-3012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.23% — transient microloop,-3.0,8e-13,41.5,0.23
ALT-20260206-000803,2026-02-04T23:12:55.256Z,AGG-BNE-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.66% — transient microloop,-3.2,5.846e-12,28.8,0.66
ALT-20260206-002731,2026-02-04T23:13:41.533Z,GNB-MEL-3012,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.55% — transient microloop,-2.7,7.384e-12,41.6,0.55
ALT-20260206-001938,2026-02-04T23:14:40.969Z,CORE-SYD-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.14% — transient microloop,-2.8,2.163e-12,26.9,0.14
ALT-20260206-001241,2026-02-04T23:15:03.988Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.29% — transient microloop,-3.4,9.795e-12,21.7,0.29
ALT-20260206-000117,2026-02-04T23:15:37.394Z,LINK-BNE-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.5,2.445e-12,31.5,0.019
ALT-20260206-001211,2026-02-04T23:15:42.767Z,LINK-SYD-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.0,8.289e-12,29.9,0.035
ALT-20260206-001595,2026-02-04T23:18:02.942Z,CORE-MEL-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 72.3% — routine process spike,-2.6,9.972e-12,72.3,0.025
ALT-20260206-001400,2026-02-04T23:19:40.056Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,5.569e-12,24.4,0.031
ALT-20260206-001223,2026-02-04T23:21:25.485Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,1.209e-12,17.5,0.024
ALT-20260206-001676,2026-02-04T23:21:41.603Z,CORE-MEL-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 58.0% — routine process spike,-3.2,2.218e-12,58.0,0.018
ALT-20260206-000601,2026-02-04T23:22:32.435Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,4.138e-12,38.5,0.024
ALT-20260206-002017,2026-02-04T23:32:06.305Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 63.2% — routine process spike,-3.3,6.77e-13,63.2,0.031
ALT-20260206-002857,2026-02-04T23:32:23.608Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,4.496e-12,43.5,0.025
ALT-20260206-001659,2026-02-04T23:33:17.484Z,LINK-MEL-AGG-WEST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,6.646e-12,35.6,0.032
ALT-20260206-001607,2026-02-04T23:33:33.746Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,8.354e-12,23.2,0.01
ALT-20260206-001531,2026-02-04T23:34:39.081Z,LINK-MEL-AGG-WEST-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.26% — transient microloop,-3.0,4.92e-13,30.5,0.26
ALT-20260206-002006,2026-02-04T23:35:12.332Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 68.4% — routine process spike,-3.1,8.61e-12,68.4,0.022
ALT-20260206-002268,2026-02-04T23:35:36.898Z,LINK-SYD-MEL-FIBRE-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.64% — transient microloop,-3.2,3.752e-12,22.5,0.64
ALT-20260206-001111,2026-02-04T23:37:09.446Z,AGG-SYD-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.5,8.859e-12,21.3,0.004
ALT-20260206-002661,2026-02-04T23:37:59.511Z,GNB-MEL-3011,BaseStation,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.3,7.519e-12,36.9,0.038
ALT-20260206-002135,2026-02-04T23:38:15.052Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,9.44e-13,42.7,0.031
ALT-20260206-000751,2026-02-04T23:38:24.601Z,CORE-SYD-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.79% — transient microloop,-2.9,8.426e-12,32.1,0.79
ALT-20260206-001076,2026-02-04T23:40:35.675Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,8.165e-12,33.8,0.04
ALT-20260206-002676,2026-02-04T23:42:34.793Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,1.483e-12,22.4,0.012
ALT-20260206-000769,2026-02-04T23:44:13.897Z,GNB-SYD-2043,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.5% — transient microloop,-3.0,4.063e-12,36.4,0.5
ALT-20260206-001626,2026-02-04T23:47:16.038Z,LINK-SYD-AGG-NORTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.6,5.973e-12,31.0,0.017
ALT-20260206-002121,2026-02-04T23:48:04.929Z,AGG-MEL-EAST-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.64% — transient microloop,-3.0,7.629e-12,17.0,0.64
ALT-20260206-000832,2026-02-04T23:49:00.388Z,LINK-SYD-AGG-SOUTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.8,2.07e-12,34.2,0.026
ALT-20260206-001656,2026-02-04T23:49:30.731Z,LINK-MEL-AGG-EAST-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.5,3.759e-12,31.1,0.019
ALT-20260206-000191,2026-02-04T23:50:21.122Z,LINK-MEL-AGG-EAST-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.5,6.031e-12,19.5,0.004
ALT-20260206-002002,2026-02-04T23:50:29.115Z,AGG-BNE-CENTRAL-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 59.4% — routine process spike,-2.9,7.52e-12,59.4,0.018
ALT-20260206-000569,2026-02-04T23:53:33.552Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 61.4% — routine process spike,-3.0,6.167e-12,61.4,0.029
ALT-20260206-000608,2026-02-04T23:56:22.505Z,CORE-MEL-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 67.3% — routine process spike,-2.8,3.604e-12,67.3,0.049
ALT-20260206-000393,2026-02-04T23:57:56.039Z,LINK-SYD-AGG-SOUTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,4.242e-12,27.1,0.032
ALT-20260206-002367,2026-02-04T23:58:28.538Z,CORE-MEL-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.44% — transient microloop,-3.2,2.341e-12,20.2,0.44
ALT-20260206-000270,2026-02-05T00:00:23.200Z,GNB-SYD-2041,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.14% — transient microloop,-2.7,6.526e-12,22.0,0.14
ALT-20260206-002082,2026-02-05T00:01:23.854Z,AGG-SYD-NORTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 73.5% — routine process spike,-3.1,7.26e-12,73.5,0.033
ALT-20260206-002299,2026-02-05T00:02:33.063Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 71.1% — routine process spike,-3.3,5.438e-12,71.1,0.037
ALT-20260206-001436,2026-02-05T00:03:40.439Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.5,4.19e-13,23.5,0.03
ALT-20260206-001535,2026-02-05T00:04:22.974Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,9.246e-12,35.0,0.007
ALT-20260206-000801,2026-02-05T00:05:23.880Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.1,3.164e-12,30.9,0.048
ALT-20260206-000007,2026-02-05T00:07:19.656Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 72.3% — routine process spike,-3.1,4.54e-12,72.3,0.008
ALT-20260206-000508,2026-02-05T00:11:08.825Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.2,7.388e-12,17.8,0.038
ALT-20260206-001449,2026-02-05T00:11:10.719Z,GNB-BNE-4011,BaseStation,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.33% — transient microloop,-3.4,7.407e-12,35.2,0.33
ALT-20260206-002472,2026-02-05T00:11:51.609Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 64.8% — routine process spike,-3.1,1.857e-12,64.8,0.027
ALT-20260206-001336,2026-02-05T00:12:02.154Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.5,7.13e-12,35.5,0.012
ALT-20260206-001677,2026-02-05T00:13:15.364Z,LINK-SYD-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.5% — transient microloop,-3.2,7.134e-12,35.2,0.5
ALT-20260206-001840,2026-02-05T00:15:09.500Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 58.7% — routine process spike,-3.3,6.584e-12,58.7,0.044
ALT-20260206-000363,2026-02-05T00:16:04.753Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 65.8% — routine process spike,-3.3,4.579e-12,65.8,0.038
ALT-20260206-002161,2026-02-05T00:16:14.085Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 65.9% — routine process spike,-3.4,6.685e-12,65.9,0.014
ALT-20260206-000704,2026-02-05T00:17:23.590Z,LINK-MEL-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,3.813e-12,44.3,0.005
ALT-20260206-002655,2026-02-05T00:18:14.024Z,AGG-BNE-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.25% — transient microloop,-3.4,3.02e-12,34.9,0.25
ALT-20260206-001188,2026-02-05T00:19:26.026Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,3.428e-12,32.6,0.024
ALT-20260206-002280,2026-02-05T00:21:07.939Z,AGG-SYD-NORTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.68% — transient microloop,-3.3,2.174e-12,20.2,0.68
ALT-20260206-001047,2026-02-05T00:22:12.324Z,CORE-SYD-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 57.8% — routine process spike,-2.9,4.96e-13,57.8,0.044
ALT-20260206-001417,2026-02-05T00:22:17.105Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,5.3e-12,29.8,0.022
ALT-20260206-002686,2026-02-05T00:23:39.068Z,GNB-MEL-3021,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,8.408e-12,30.0,0.03
ALT-20260206-001705,2026-02-05T00:24:50.827Z,GNB-SYD-2043,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.2,7.911e-12,24.8,0.028
ALT-20260206-002706,2026-02-05T00:29:22.399Z,AGG-MEL-EAST-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 67.2% — routine process spike,-2.8,4.367e-12,67.2,0.004
ALT-20260206-002209,2026-02-05T00:30:04.643Z,LINK-SYD-MEL-FIBRE-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.9,6.007e-12,36.9,0.034
ALT-20260206-001162,2026-02-05T00:30:44.106Z,AGG-SYD-SOUTH-01,AggSwitch,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.24% — transient microloop,-3.5,9.235e-12,32.9,0.24
ALT-20260206-002494,2026-02-05T00:31:14.265Z,LINK-BNE-AGG-CENTRAL-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-3.1,2.568e-12,37.9,0.041
ALT-20260206-000450,2026-02-05T00:33:16.841Z,AGG-SYD-NORTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 62.9% — routine process spike,-3.0,4.915e-12,62.9,0.0
ALT-20260206-000366,2026-02-05T00:34:16.754Z,CORE-MEL-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.28% — transient microloop,-2.6,8.79e-13,41.0,0.28
ALT-20260206-001037,2026-02-05T00:35:05.762Z,LINK-MEL-AGG-EAST-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.42% — transient microloop,-2.5,8.056e-12,44.7,0.42
ALT-20260206-000945,2026-02-05T00:35:09.272Z,CORE-BNE-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.73% — transient microloop,-2.8,8.858e-12,26.9,0.73
ALT-20260206-002258,2026-02-05T00:35:39.996Z,LINK-SYD-BNE-FIBRE-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.7,6.101e-12,31.6,0.003
ALT-20260206-000736,2026-02-05T00:36:39.130Z,CORE-BNE-01,CoreRouter,HIGH_CPU,WARNING,CPU utilization 57.2% — routine process spike,-2.5,1.622e-12,57.2,0.033
ALT-20260206-002050,2026-02-05T00:38:44.087Z,AGG-BNE-CENTRAL-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 67.5% — routine process spike,-2.6,6.632e-12,67.5,0.046
ALT-20260206-002143,2026-02-05T00:40:23.028Z,LINK-SYD-AGG-NORTH-01,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,6.42e-13,42.0,0.024
ALT-20260206-001235,2026-02-05T00:40:45.491Z,LINK-BNE-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.77% — transient microloop,-2.9,2.168e-12,25.8,0.77
ALT-20260206-002888,2026-02-05T00:41:12.024Z,LINK-BNE-AGG-SOUTH-01,TransportLink,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.17% — transient microloop,-3.4,2.374e-12,26.0,0.17
ALT-20260206-002048,2026-02-05T00:42:48.559Z,AGG-BNE-SOUTH-01,AggSwitch,HIGH_CPU,WARNING,CPU utilization 71.5% — routine process spike,-2.9,8.446e-12,71.5,0.048
ALT-20260206-002855,2026-02-05T00:44:12.717Z,CORE-MEL-01,CoreRouter,PACKET_LOSS_THRESHOLD,MINOR,Packet loss 0.5% — transient microloop,-2.8,5.296e-12,39.7,0.5
ALT-20260206-000082,2026-02-05T00:46:49.579Z,LINK-SYD-AGG-NORTH-01,TransportLink,SERVICE_DEGRADATION,MINOR,Brief latency increase on link — within SLA,-2.7,7.964e-12,32.0,0.002
ALT-20260206-000885,2026-02-05T00:48:09.300Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.0,7.401e-12,21.7,0.04
ALT-20260206-001441,2026-02-05T00:48:15.082Z,GNB-SYD-2041,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.9,6.792e-12,24.7,0.029
ALT-20260206-000342,2026-02-05T00:50:52.495Z,AGG-BNE-SOUTH-01,AggSwitch,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-3.3,4.237e-12,26.3,0.022
ALT-20260206-001463,2026-02-05T00:51:11.393Z,GNB-MEL-3011,BaseStation,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.6,6.455e-12,26.3,0.024
ALT-20260206-001169,2026-02-05T00:51:44.591Z,LINK-SYD-MEL-FIBRE-02,TransportLink,DUPLICATE_ALERT,MINOR,Periodic keepalive timeout — auto-recovered,-2.5,2.022e-12,40.9,0.024
